country,university,link,abbre
AD,University of Andorra,http://www.uda.ad/,uda
AE,Abu Dhabi University,http://www.adu.ac.ae/,adu
AE,Ajman University of Science & Technology,http://www.ajman.ac.ae/,ajman
AE,Alain University of Science and Technology,http://www.alainuniversity.ac.ae/,alainuniversity
AE,Al Ghurair University,http://www.agu.ae/,agu
AE,Alhosn University,http://www.alhosnu.ae/,alhosnu
AE,Al Khawarizmi International College,http://www.khawarizmi.com/,khawarizmi
AE,American College Of Dubai,http://www.acd.ac.ae/,acd
AE,American University in Dubai,http://www.aud.edu/,aud
AE,American University in the Emirates,http://www.aue.ae/,aue
AE,American University of Sharjah,http://www.aus.edu/,aus
AE,British University in Dubai,http://www.buid.ac.ae/,buid
AE,Dubai Medical College for Girls,http://www.dmcg.edu/,dmcg
AE,Dubai Pharmacy College,http://www.dpc.edu/,dpc
AE,Etisalat University College,http://www.ece.ac.ae/,ece
AE,Gulf Medical University,http://www.gmu.ac.ae/,gmu
AE,Hamdan Bin Mohammed e-University,http://www.hbmeu.ac.ae/,hbmeu
AE,Higher Colleges of Technology,http://www.hct.ac.ae/,hct
AE,Ittihad University,http://www.ittihad.ac.ae/,ittihad
AE,Jumeira University,http://www.ju.ac.ae/,ju
AE,Khalifa University,http://www.kustar.ac.ae/,kustar
AE,"Khalifa University of Science, Technology and Research",http://www.ku.ac.ae/,ku
AE,Masdar University Of Science And Technology,http://www.masdar.ac.ae/,masdar
AE,"New York University, Abu Dhabi",http://nyuad.nyu.edu/,nyu
AE,Paris-Sorbonne University Abu Dhabi,http://www.sorbonne.ae/,sorbonne
AE,Rak Medical & Health Sciences University,http://www.rakmhsu.com/,rakmhsu
AE,"Rochester Institute of Technology, Dubai",http://dubai.rit.edu/,rit
AE,"Skyline University College, Sharjah",http://www.skylineuniversity.com/,skylineuniversity
AE,"Synergy University, Dubai Campus",http://www.synergydubai.ae/,synergydubai
AE,The Emirates Academy of Hotel Managment,http://www.emiratesacademy.edu/,emiratesacademy
AE,The Petroleum Institute,http://www.pi.ac.ae/,pi
AE,United Arab Emirates University,http://www.uaeu.ac.ae/,uaeu
AE,University Of Dubai,http://www.ud.ac.ae/,ud
AE,University of Jazeera,http://www.uojazeera.com/,uojazeera
AE,University of Sharjah,http://www.sharjah.ac.ae/,sharjah
AE,University of Wollongong - Dubai Campus,http://www.uowdubai.ac.ae/,uowdubai
AE,Zayed University,http://www.zu.ac.ae/,zu
AF,Afghan University,http://www.afghanuniversity.edu.af/,afghanuniversity
AF,Al-Birony University,http://www.au.edu.af/,au
AF,American University of Afghanistan,http://www.auaf.edu.af/,auaf
AF,Aria Institute of Higher Education,http://www.aria.edu.af/,aria
AF,Badakhshan University,http://www.badakhshan.edu.af/,badakhshan
AF,Baghlan University,http://www.baghlan.edu.af/,baghlan
AF,Bakhtar University,http://www.bakhtar.edu.af/,bakhtar
AF,Balkh University,http://www.ba.edu.af/,ba
AF,Bamiyan University,http://www.bu.edu.af/,bu
AF,Bost University,http://www.bost.edu.af/,bost
AF,Dawat University,http://www.dawat.edu.af/,dawat
AF,Dunya Institute of Higher Education,http://www.dunya.edu.af/,dunya
AF,Faryab Higher Education Institute,http://www.faryab.edu.af/,faryab
AF,Ghazni University,http://www.gu.edu.af/,gu
AF,Herat University,http://www.hu.edu.af/,hu
AF,Ibn Sina University,http://www.ibnesina.edu.af/,ibnesina
AF,Jawzjan University,http://www.ju.edu.af/,ju
AF,Kaboora Institute of Higher Education,http://www.kaboora.edu.af/,kaboora
AF,Kabul Education University,http://www.keu.edu.af/,keu
AF,Kabul Health Sciences Institute,http://www.kabuli.edu.af/,kabuli
AF,Kabul Medical University,http://www.kmu.edu.af/,kmu
AF,Kabul University,http://www.ku.edu.af/,ku
AF,Kandahar University,http://www.kan.edu.af/,kan
AF,Kardan University,http://www.kardan.edu.af/,kardan
AF,Karwan Institute of Higher Education,http://www.karwan.edu.af/,karwan
AF,Kateb Institute of Higher Education,http://www.kateb.edu.af/,kateb
AF,Khana-e-Noor Institute of Higher Education,http://www.ken.edu.af/,ken
AF,Khurasan University,http://www.kumsa.net/,kumsa
AF,Maryam Institute of Higher Education,http://www.maryam.edu.af/,maryam
AF,Nangarhar University,http://www.nu.edu.af/,nu
AF,National Military Academy of Afghanistan,http://www.nmaa.edu.af/,nmaa
AF,Paktia University,http://www.pu.edu.af/,pu
AF,Pamir University,http://www.pamir.edu.af/,pamir
AF,Parwan University,http://www.parwan.edu.af/,parwan
AF,Polytechnical University of Kabul,http://www.polytechnic-kabul.org/,polytechnic-kabul
AF,Rana Institute of Higher Education,http://www.rihs.edu.af/,rihs
AF,Sadat Institute of Higher Education,http://www.sadat.edu.af/,sadat
AF,Salam University,http://www.salam.edu.af/,salam
AF,Shaikh Zayed University,http://www.szu.edu.af/,szu
AF,Taj Institute of Higher Education,http://www.taj.edu.af/,taj
AF,Takhar University,http://www.tu.edu.af/,tu
AG,American University of Antigua,http://www.auamed.org/,auamed
AG,University of Health Sciences Antigua,http://www.uhsa.ag/,uhsa
AL,Academy of Arts,http://www.akademiaearteve.edu.al/,akademiaearteve
AL,Academy of Sports and Physical Training,http://www.aefs.edu.al/,aefs
AL,Agricultural University of Tirane,http://www.ubt.edu.al/,ubt
AL,American University of Tirana,http://www.uat.edu.al/,uat
AL,Beder University,http://www.beder.edu.al/,beder
AL,Epoka University,http://www.epoka.edu.al/,epoka
AL,Polytechnic University of Tirane,http://www.upt.al/,upt
AL,"University of Elbasan ""Aleksander Xhuvani""",http://www.uniel.edu.al/,uniel
AL,"University of Gjirokstra ""Eqerem Cabej""",http://www.uogj.edu.al/,uogj
AL,"University of Korca ""Fan Noli""",http://www.unkorce.edu.al/,unkorce
AL,University of New York Tirana,http://www.unyt.edu.al/,unyt
AL,"University of Shkodra ""Luigj Gurakuqi""",http://www.unishk.edu.al/,unishk
AL,University of Tirana,http://www.unitir.edu.al/,unitir
AL,"University of Vlora ""Ismail Qemali""",http://www.univlora.edu.al/,univlora
AL,University “Pavaresia” Vlore,http://www.unipavaresia.edu.al/,unipavaresia
AM,American University of Armenia,http://www.aua.am/,aua
AM,Armenian State Agrarian University,http://www.asau.am/,asau
AM,Armenian State University of Economics,http://www.asue.am/,asue
AM,Eurasia International University,http://www.eiu.am/,eiu
AM,European Regional Educational Academy of Armenia,http://www.eriicta.am/,eriicta
AM,French University in Armenia (UFAR),http://www.ufar.am/,ufar
AM,Mehrabyan Medical Institute and Medical College,http://www.armmed.am/,armmed
AM,Russian-Armenian (Slavonic) State University,http://www.rau.am/,rau
AM,State Engineering University of Armenia,http://www.seua.am/,seua
AM,Yerevan Haibusak University,http://www.haybusak.org/,haybusak
AM,Yerevan State Medical University,http://www.ysmu.am/,ysmu
AM,Yerevan State University,http://www.ysu.am/,ysu
AN,"American University of the Caribbean, Sint Maarten",http://www.aucmed.edu/,aucmed
AN,International University School of Medicine (IUSOM),http://www.internationaluniversity-schoolofmedicine.org/,internationaluniversity-schoolofmedicine
AN,"St.James's School of Medicine, Bonaire",http://www.sjsm.org/,sjsm
AN,University of Sint Eustatius School of Medicine,http://www.eustatiusmed.edu/,eustatiusmed
AN,"University of the Netherlands Antilles, Curacao",http://www.una.an/,una
AO,Universidade Católica de Angola,http://www.ucan.edu/,ucan
AO,Universidade Gregorio Semedo,http://www.ugs.ed.ao/,ugs
AO,Universidade Independente de Angola,http://www.unia.ao/,unia
AO,Universidade Lusíada de Angola,http://www.ulangola.net/,ulangola
AO,Universidade Metodista de Angola,http://www.uma.co.ao/,uma
AO,Universidade Metropolitana de Angola,http://www.unimetroangola.com/,unimetroangola
AO,Universidade Tecnica de Angola,http://www.utanga.co.ao/,utanga
