paper_id,pdf_link,num_pages,num_figures,num_tables
2302.05543v3,https://arxiv.org/pdf/2302.05543v3,12,12,3
2303.03378v1,https://arxiv.org/pdf/2303.03378v1,18,8,10
2305.14314v1,https://arxiv.org/pdf/2305.14314v1,26,6,13
2306.05685v4,https://arxiv.org/pdf/2306.05685v4,29,20,15
2307.15043v2,https://arxiv.org/pdf/2307.15043v2,31,12,2
2309.00267v2,https://arxiv.org/pdf/2309.00267v2,29,14,24
2309.10305v2,https://arxiv.org/pdf/2309.10305v2,28,10,13
2305.18290v2,https://arxiv.org/pdf/2305.18290v2,27,5,10
2305.06500v2,https://arxiv.org/pdf/2305.06500v2,17,7,5
2310.06825v1,https://arxiv.org/pdf/2310.06825v1,9,6,5
2305.10601v2,https://arxiv.org/pdf/2305.10601v2,14,6,8
2304.12244v2,https://arxiv.org/pdf/2304.12244v2,41,8,9
2307.09288v2,https://arxiv.org/pdf/2307.09288v2,77,33,52
2306.14824v3,https://arxiv.org/pdf/2306.14824v3,20,13,9
2309.07864v3,https://arxiv.org/pdf/2309.07864v3,86,12,0
2305.16291v2,https://arxiv.org/pdf/2305.16291v2,42,10,2
2308.16512v2,https://arxiv.org/pdf/2308.16512v2,21,16,1
2305.10403v3,https://arxiv.org/pdf/2305.10403v3,93,37,31
2307.15818v1,https://arxiv.org/pdf/2307.15818v1,26,10,6
2309.06180v1,https://arxiv.org/pdf/2309.06180v1,16,19,1
2307.01952v1,https://arxiv.org/pdf/2307.01952v1,21,16,3
2304.14178v1,https://arxiv.org/pdf/2304.14178v1,21,18,5
2304.02643v1,https://arxiv.org/pdf/2304.02643v1,30,20,9
2303.12712v5,https://arxiv.org/pdf/2303.12712v5,155,91,10
2304.10592v2,https://arxiv.org/pdf/2304.10592v2,15,14,6
2312.11805v1,https://arxiv.org/pdf/2312.11805v1,62,21,14
2302.13971v1,https://arxiv.org/pdf/2302.13971v1,27,3,16
2308.12950v3,https://arxiv.org/pdf/2308.12950v3,48,22,26
2301.12597v3,https://arxiv.org/pdf/2301.12597v3,13,7,9
2309.01219v2,https://arxiv.org/pdf/2309.01219v2,33,7,11
2401.04088v1,https://arxiv.org/pdf/2401.04088v1,13,10,5
2306.01116v1,https://arxiv.org/pdf/2306.01116v1,32,9,17
2303.08774v4,https://arxiv.org/pdf/2303.08774v4,100,11,19
2310.15008v3,https://arxiv.org/pdf/2310.15008v3,13,10,2
2310.16944v1,https://arxiv.org/pdf/2310.16944v1,14,7,3
2303.18223v13,https://arxiv.org/pdf/2303.18223v13,124,18,17
2307.03172v3,https://arxiv.org/pdf/2307.03172v3,18,16,7
2312.00752v1,https://arxiv.org/pdf/2312.00752v1,37,10,15
2308.04079v1,https://arxiv.org/pdf/2308.04079v1,14,12,9
2304.08485v2,https://arxiv.org/pdf/2304.08485v2,25,7,16
